,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Diego Perotti,8,ARG,"LW,RW",29-025,83,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,2,0,21,30,70.0,1,25,1,5,2,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Edin Džeko,9,BIH,FW,31-156,90,0,0,0,0,3,0,0,0,41,1,0,1,0.2,0.2,0.0,1,1,17,28,60.7,1,15,0,1,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Federico Fazio,20,ARG,CB,30-156,10,0,0,0,0,0,0,0,0,3,0,1,1,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Grégoire Defrel,23,MTQ,RW,26-064,73,0,0,0,0,1,0,1,0,24,2,1,1,0.1,0.1,0.0,1,0,12,14,85.7,0,10,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Juan Jesus,5,BRA,CB,26-071,90,0,0,0,0,0,0,0,0,39,4,3,1,0.0,0.0,0.0,0,0,26,31,83.9,2,19,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Kevin Strootman,6,NED,RM,27-188,90,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,1,0,28,33,84.8,5,22,1,3,2,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Kostas Manolas,44,GRE,"CB,RB",26-067,90,0,0,0,0,0,0,0,0,37,1,2,0,0.0,0.0,0.0,0,0,17,27,63.0,1,18,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Lorenzo Pellegrini,7,ITA,RW,21-062,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Radja Nainggolan,4,BEL,LM,29-108,90,0,0,0,0,1,0,1,0,39,1,2,0,0.0,0.0,0.0,2,1,23,31,74.2,1,23,3,4,4,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Stephan El Shaarawy,92,ITA,LW,24-297,17,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,1,1,0,634f9715
