,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Ezequiel Garay,24,ARG,CB,30-312,90,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.0,0,0,32,41,78.0,4,28,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,José Luis Gayà,14,ESP,LB,22-085,90,0,0,0,0,0,0,1,0,49,2,1,0,0.0,0.0,0.0,1,0,38,44,86.4,2,26,1,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,João Cancelo,7,POR,RM,23-083,90,0,0,0,0,4,2,0,0,62,1,2,1,0.3,0.3,0.4,8,0,28,47,59.6,6,37,12,6,2,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Nacho Gil,31,ESP,LM,21-343,18,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,6,11,54.5,0,11,1,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Nacho Vidal,30,ESP,RB,22-206,90,0,0,0,0,1,1,0,0,49,0,2,1,0.1,0.1,0.0,1,0,34,42,81.0,3,22,1,1,1,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Nemanja Maksimović,6,SRB,CM,22-204,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,1,2,50.0,1,1,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Neto,13,BRA,GK,28-030,90,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,8,16,50.0,0,9,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Rodrigo,19,ESP,FW,26-165,78,0,0,0,0,5,1,0,0,51,1,1,3,0.5,0.5,0.1,7,1,33,41,80.5,4,27,6,1,1,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Rúben Vezo,3,POR,CB,23-115,90,0,0,0,0,0,0,0,0,47,3,3,2,0.0,0.0,0.0,1,0,29,36,80.6,1,22,1,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Santi Mina,22,ESP,FW,21-254,12,0,0,0,0,1,0,0,0,5,2,0,1,0.1,0.1,0.0,0,0,1,1,100.0,0,2,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Simone Zaza,9,ITA,FW,26-054,90,1,0,0,0,7,2,1,0,38,2,0,2,0.4,0.4,0.1,2,0,15,20,75.0,2,16,2,3,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Álvaro Medrán,8,ESP,CM,23-156,72,0,0,0,0,1,0,0,0,56,1,3,0,0.0,0.0,0.0,3,0,44,48,91.7,4,33,1,0,0,05e8105f
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Andreu Fontàs,3,ESP,CB,27-278,90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,1,0,60,73,82.2,10,51,1,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Andrew Hjulsager,17,DEN,LM,22-216,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Daniel Wass,18,DEN,"RM,RW",28-080,90,0,0,0,0,1,0,0,0,50,0,1,2,0.0,0.0,1.1,3,0,29,39,74.4,4,23,2,1,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Gustavo Cabral,22,ARG,CB,31-309,90,0,1,0,0,1,0,0,0,61,2,2,0,0.0,0.0,0.1,3,1,42,50,84.0,1,34,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Hugo Mallo,2,ESP,RB,26-058,90,0,0,0,0,1,1,1,0,67,2,4,2,0.4,0.4,0.1,3,0,45,54,83.3,11,31,5,2,1,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Iago Aspas,10,ESP,"RW,FW",30-018,90,0,0,0,0,6,1,0,0,55,1,1,0,0.3,0.3,0.0,4,2,21,39,53.8,3,34,4,3,1,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Jonny Castro,19,ESP,LB,23-169,90,0,0,0,0,1,0,1,0,56,0,2,1,0.0,0.0,0.0,0,0,41,47,87.2,2,25,2,2,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Jozabed,16,ESP,"LM,CM,DM",26-164,75,0,0,0,0,1,0,0,0,45,0,0,1,0.0,0.0,0.2,7,0,35,42,83.3,11,34,2,1,1,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Maxi Gómez,7,URU,FW,21-005,66,2,0,0,0,3,2,1,0,16,0,0,0,0.9,0.9,0.0,1,0,5,10,50.0,1,6,1,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Nemanja Radoja,6,SRB,"CM,DM",24-194,90,0,0,0,0,0,0,0,0,39,2,1,0,0.0,0.0,0.0,2,1,34,35,97.1,4,20,1,1,1,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Pablo Hernández,8,CHI,"CM,AM",30-299,24,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,1,0,21,25,84.0,1,19,1,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Pione Sisto,11,DEN,"LW,LM",22-196,85,0,0,0,0,2,1,0,0,39,1,0,0,0.1,0.1,0.1,4,0,23,30,76.7,2,31,6,2,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Sergio Álvarez,1,ESP,GK,31-016,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.1,1,0,29,38,76.3,0,18,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Celta Vigo,Stanislav Lobotka,14,SVK,CM,22-267,15,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,1,7,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Aritz Elustondo,15,ESP,CB,23-144,90,0,0,0,0,0,0,0,0,49,1,0,2,0.0,0.0,0.0,0,0,37,41,90.2,2,30,1,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Asier Illarramendi,4,ESP,CM,27-164,90,0,0,0,0,1,1,1,0,69,1,3,3,0.0,0.0,0.0,0,0,47,58,81.0,4,47,1,2,2,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Carlos Vela,11,MEX,RW,28-171,34,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.1,2,1,9,14,64.3,1,12,3,1,1,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,David Zurutuza,17,ESP,LM,31-031,90,0,0,0,0,1,0,0,0,44,0,2,6,0.2,0.2,0.0,1,0,31,35,88.6,3,24,1,1,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Gerónimo Rulli,1,ARG,GK,25-091,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,28,47,59.6,0,28,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Imanol Agirretxe,9,ESP,RM,30-176,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,2,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Juanmi,7,ESP,LW,24-091,24,1,0,0,0,2,1,0,0,11,2,0,0,0.6,0.6,0.0,0,0,4,5,80.0,0,4,0,1,1,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Kévin Rodrigues,20,POR,LB,23-167,90,0,0,0,0,0,0,0,0,60,2,2,4,0.0,0.0,0.1,3,0,35,45,77.8,2,29,1,0,0,02357c77
